,,Loose Running C11/h11,Loose Running C11/h11,Loose Running C11/h11,Free Running D9/h9,Free Running D9/h9,Free Running D9/h9,Close Running F8/h7,Close Running F8/h7,Close Running F8/h7,Sliding G7/h6,Sliding G7/h6,Sliding G7/h6,Locational Clearance H7/h6,Locational Clearance H7/h6,Locational Clearance H7/h6
"Basic
Size",,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit
1,Max,1.12,1,0.18,1.045,1,0.07,1.02,1,0.03,1.012,1,0.018,1.01,1,0.016
1,Min,1.06,0.94,0.06,1.02,0.975,0.02,1.006,0.99,0.006,1.002,0.994,0.002,1,0.994,0
1.2,Max,1.32,1.2,0.18,1.245,1.2,0.07,1.22,1.2,0.03,1.212,1.2,0.018,1.21,1.2,0.016
1.2,Min,1.26,1.14,0.06,1.22,1.175,0.02,1.206,1.19,0.006,1.202,1.194,0.002,1.2,1.194,0
1.6,Max,1.72,1.6,0.18,1.645,1.6,0.07,1.62,"1,600",0.03,1.612,1.6,0.018,1.61,1.6,0.016
1.6,Min,1.66,1.54,0.06,1.62,1.575,0.02,1.606,1.59,0.006,1.602,1.594,0.002,1.6,1.594,0
2,Max,2.12,2,0.18,2.045,2,0.07,2.02,2,0.03,2.012,2,0.018,2.01,2,0.016
2,Min,2.06,1.94,0.06,2.02,1.975,0.02,2.006,1.99,0.006,2.002,1.994,0.002,2,1.994,0
2.5,Max,2.62,2.5,0.18,2.545,2.5,0.07,2.52,2.5,0.03,2.512,2.5,0.018,2.51,2.5,0.016
2.5,Min,2.56,2.44,0.06,2.52,2.475,0.02,2.506,2.49,0.006,2.502,2.494,0.002,2.5,2.494,0
3,Max,3.12,3,0.18,3.045,3,0.07,3.02,3,0.03,3.012,3,0.018,3.01,3,0.016
3,Min,3.06,2.94,0.06,3.02,2.975,0.02,3.006,2.99,0.006,"3,002",2.994,0.002,3,2.994,0
4,Max,4.145,4,0.22,4.06,4,0.09,4.028,4,0.04,4.016,4,0.024,4.012,4,0.02
4,Min,4.07,3.925,0.07,4.03,3.97,0.03,4.01,3.988,0.01,4.004,"3,992",0.004,4,3.992,0
5,Max,5.145,5,0.22,5.06,5,0.09,5.028,"5,000",0.04,5.016,5,0.024,5.012,5,0.02
5,Min,5.07,4.925,0.07,5.03,4.97,0.03,5.01,4.988,0.01,5.004,"4,992",0.004,"5,000",4.992,0
6,Max,6.145,"6,000",0.22,6.06,6,0.09,6.028,"6,000",0.04,6.016,6,0.024,6.012,"6,000",0.02
6,Min,"6,070",5.925,0.07,6.03,5.97,0.03,6.01,"5,988",0.01,"6,004","5,992",0.004,"6,000",5.992,0
8,Max,8.17,8,0.26,8.076,8,0.112,8.035,8,0.05,8.02,8,0.029,8.015,8,0.024
8,Min,8.08,7.91,0.08,8.04,7.964,0.04,8.013,7.985,0.013,8.005,"7,991",0.005,8,7.991,0
10,Max,10.17,10,0.26,10.076,10,0.112,10.035,10,0.05,10.02,"10,000",0.029,10.015,"10,000",0.024
10,Min,10.08,9.91,0.08,10.04,9.964,0.04,10.013,"9,985",0.013,10.005,9.991,0.005,10,9.991,0
12,Max,12.205,12,0.315,12.093,12,0.136,12.043,12,0.061,12.024,12,0.035,12.018,12,0.029
12,Min,12.095,11.89,0.095,12.05,11.957,0.05,12.016,11.982,0.016,12.006,11.989,0.006,12,11.989,0
16,Max,"16,205","16,000",0.315,16.093,16,0.136,16.043,"16,000",0.061,16.024,"16,000",0.035,16.018,"16,000",0.029
16,Min,16.095,15.89,0.095,16.05,"15,957",0.05,16.016,15.982,0.016,16.006,15.989,0.006,16,"15,989",0
20,Max,20.24,20,0.37,20.117,20,0.169,20.053,20,0.074,20.028,20,0.041,20.021,20,0.034
20,Min,"20,110","19,870",0.11,"20,065",19.948,0.065,20.02,19.979,0.02,20.007,19.987,0.007,"20,000","19,987",0
25,Max,"25,240",25,0.37,25.117,25,0.169,25.053,25,0.074,25.028,25,0.041,25.021,25,0.034
25,Min,25.11,24.87,0.11,25.065,24.948,0.065,25.02,24.979,0.02,25.007,"24,987",0.007,"25,000",24.987,0
