,,Locational Transition K7/h6,Locational Transition K7/h6,Locational Transition K7/h6,Locational Transition N7/h6,Locational Transition N7/h6,Locational Transition N7/h6,Locational Interference P7/h6,Locational Interference P7/h6,Locational Interference P7/h6,Medium Drive S7/h6,Medium Drive S7/h6,Medium Drive S7/h6,Force U7/h6,Force U7/h6,Force U7/h6
"Basic
Size",,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit
1,Max,1,1,0.006,0.996,1,0.002,0.994,1,0,0.986,1,-0.008,0.982,1,-0.012
1,Min,0.99,0.994,-0.01,0.986,0.994,-0.014,0.984,0.994,-0.016,0.976,0.994,-0.024,0.972,0.994,-0.028
1.2,Max,1.2,1.2,0.006,1.196,1.2,0.002,1.194,1.2,0,1.186,1.2,-0.008,1.182,1.2,-0.012
1.2,Min,1.19,1.194,-0.01,1.186,1.194,-0.014,1.184,1.194,-0.016,1.176,1.194,-0.024,1.172,1.194,-0.028
1.6,Max,1.6,1.6,0.006,1.596,1.6,0.002,1.594,1.6,0,1.586,1.6,-0.008,1.582,1.6,-0.012
1.6,Min,"1,590",1.594,-0.01,1.586,1.594,-0.014,1.584,"1,594",-0.016,1.576,1.594,-0.024,1.572,1.594,-0.028
2,Max,2,2,0.006,1.996,2,0.002,1.994,2,0,1.986,2,-0.008,1.982,2,-0.012
2,Min,1.99,1.994,-0.01,1.986,1.994,-0.014,1.984,1.994,-0.016,1.976,1.994,-0.024,1.972,1.994,-0.028
2.5,Max,2.5,2.5,0.006,2.496,2.5,0.002,2.494,2.5,0,2.486,2.5,-0.008,2.482,2.5,-0.012
2.5,Min,2.49,"2,494",-0.01,"2,486",2.494,-0.014,2.484,"2,494",-0.016,2.476,2.494,-0.024,"2,472",2.494,-0.028
3,Max,3,3,0.006,2.996,3,0.002,2.994,3,0,2.986,3,-0.008,2.982,3,-0.012
3,Min,2.99,2.994,-0.01,2.986,"2,994",-0.014,2.984,2.994,-0.016,2.976,2.994,-0.024,2.972,2.994,-0.028
4,Max,4.003,4,0.011,"3,996",4,0.004,3.992,4,0,3.985,4,-0.007,3.981,4,-0.011
4,Min,3.991,"3,992",-0.009,"3,984",3.992,-0.016,3.98,"3,992",-0.02,3.973,3.992,-0.027,3.969,"3,992",-0.031
5,Max,5.003,5,0.011,4.996,5,0.004,4.992,5,0,4.985,"5,000",-0.007,4.981,5,-0.011
5,Min,4.991,"4,992",-0.009,"4,984",4.992,-0.016,4.98,4.992,-0.02,4.973,4.992,-0.027,4.969,4.992,-0.031
6,Max,"6,003","6,000",0.011,"5,996",6,0.004,5.992,"6,000",0,5.985,"6,000",-0.007,5.981,"6,000",-0.011
6,Min,5.991,5.992,-0.009,"5,984",5.992,-0.016,5.98,5.992,-0.02,5.973,"5,992",-0.027,"5,969","5,992",-0.031
8,Max,8.005,8,0.014,7.996,8,0.005,7.991,8,0,7.983,8,-0.008,7.978,8,-0.013
8,Min,7.99,7.991,-0.01,7.981,7.991,-0.019,7.976,7.991,-0.024,7.968,7.991,-0.032,7.963,7.991,-0.037
10,Max,10.005,10,0.014,"9,996",10,0.005,9.991,10,0,9.983,"10,000",-0.008,"9,978",10,-0.013
10,Min,9.99,"9,991",-0.01,"9,981",9.991,-0.019,9.976,9.991,-0.024,9.968,"9,991",-0.032,"9,963","9,991",-0.037
12,Max,12.006,12,0.017,11.995,12,0.006,11.989,12,0,11.979,12,-0.01,11.974,12,-0.015
12,Min,11.988,11.989,-0.012,11.977,11.989,-0.023,11.971,11.989,-0.029,11.961,11.989,-0.039,11.956,11.989,-0.044
16,Max,16.006,16,0.017,15.995,16,0.006,15.989,16,0,15.979,16,-0.01,15.974,16,-0.015
16,Min,"15,988",15.989,-0.012,"15,977",15.989,-0.023,15.971,15.989,-0.029,15.961,15.989,-0.039,15.956,15.989,-0.044
20,Max,20.006,20,0.019,19.993,20,0.006,19.986,20,-0.001,19.973,20,-0.014,19.967,20,-0.02
20,Min,19.985,19.987,-0.015,19.972,19.987,-0.028,19.965,19.987,-0.035,19.952,19.987,-0.048,19.946,19.987,-0.054
25,Max,25.006,25,0.019,24.993,"25,000",0.006,24.986,25,-0.001,24.973,"25,000",-0.014,24.96,"25,000",-0.027
25,Min,24.985,24.987,-0.015,24.972,24.987,-0.028,24.965,24.987,-0.035,24.952,24.987,-0.048,24.939,24.987,-0.061
