,,Loose Running H11/cll,Loose Running H11/cll,Loose Running H11/cll,Free Running H9/d9,Free Running H11/cll,Free Running H11/cll,Close Running  H8/f7,Close Running  H8/f7,Close Running  H8/f7,Sliding  H7/g6,Sliding  H7/g6,Sliding  H7/g6,Locational Clearance H7/h6,Locational Clearance H7/h6,Locational Clearance H7/h6
"Basic
Size",,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit
1,Max,1.06,0.94,0.18,1.025,0.98,0.07,1.014,0.994,0.03,1.01,0.998,0.018,1.01,1,0.016
1,Min,1,0.88,0.06,1,0.995,0.02,1,0.984,0.006,1,0.992,0.002,1,0.994,0
1.2,Max,1.26,1.14,0.18,1.225,1.18,0.07,1.214,1.194,0.03,1.21,1.198,0.018,1.21,1.2,0.016
1.2,Min,1.2,1.08,0.06,1.2,1.155,0.02,1.2,1.184,0.006,1.2,1.192,0.002,1.2,1.194,0
1.6,Max,1.66,1.54,0.18,1.625,1.58,0.07,1.614,1.594,0.03,1.61,1.598,0.018,1.61,1.6,0.016
1.6,Min,1.6,1.48,0.06,1.6,1.555,0.02,1.6,"1,584",0.006,1.6,1.592,0.002,1.6,1.594,0
2,Max,2.06,1.94,0.18,2.025,1.98,0.07,2.014,1.994,0.03,2.01,1.998,0.018,2.01,2,0.016
2,Min,2,1.88,0.06,2,1.955,0.02,2,1.984,0.006,2,1.992,0.002,2,1.994,0
2.5,Max,2.56,2.44,0.18,2.525,2.48,0.07,2.514,2.494,0.03,2.51,2.498,0.018,2.51,2.5,0.016
2.5,Min,2.5,2.38,0.06,2.5,2.455,0.02,2.5,2.484,0.006,2.5,2.492,0.002,2.5,2.494,0
3,Max,3.06,2.94,0.18,3.025,"2,980",0.07,3.014,2.994,0.03,3.01,2.998,0.018,3.01,3,0.016
3,Min,3,2.88,0.06,3,"2,955",0.02,3,"2,984",0.006,3,2.992,0.002,3,2.994,0
4,Max,4.075,3.93,0.22,4.03,3.97,0.09,4.018,3.99,0.04,4.012,3.996,0.024,4.012,4,0.02
4,Min,4,"3,855",0.07,4,3.94,0.03,4,3.978,0.01,4,3.988,0.004,4,3.992,0
5,Max,5.075,4.93,0.22,5.03,4.97,0.09,5.018,4.99,0.04,5.012,4.996,0.024,5.012,5,0.02
5,Min,5,4.855,0.07,"5,000",4.94,0.03,5,4.978,0.01,"5,000",4.988,0.004,5,4.992,0
6,Max,6.075,5.93,0.22,6.03,5.97,0.09,6.018,"5,990",0.04,6.012,5.996,0.024,6.012,"6,000",0.02
6,Min,6,"5,855",0.07,"6,000",5.94,0.03,6,5.978,0.01,"6,000","5,988",0.004,"6,000","5,992",0
8,Max,8.09,7.92,0.26,8.036,"7,960",0.112,8.022,7.987,0.05,8.015,"7,995",0.029,8.015,8,0.024
8,Min,8,7.83,0.08,8,7.924,0.04,8,7.972,0.013,8,7.986,0.005,8,"7,991",0
10,Max,10.09,9.92,0.26,10.036,9.96,0.112,10.022,"9,987",0.05,10.015,9.995,0.029,10.015,"10,000",0.024
10,Min,10,9.83,0.08,10,9.924,0.04,10,"9,972",0.013,10,"9,986",0.005,10,"9,991",0
12,Max,12.11,11.905,0.315,12.043,11.956,0.136,12.027,11.984,0.061,12.018,11.994,0.035,12.018,12,0.029
12,Min,12,11.795,0.095,12,11.907,0.05,12,11.966,0.016,12,11.983,0.006,12,11.989,0
16,Max,16.11,15.905,0.315,16.043,"15,950",0.136,16.027,15.984,0.061,16.018,15.994,0.035,16.018,16,0.029
16,Min,16,15.795,0.095,"16,000",15.907,0.05,16,"15,966",0.016,"16,000","15,983",0.006,16,"15,989",0
20,Max,20.13,19.89,0.37,20.052,19.935,0.169,20.033,19.98,0.074,20.021,"19,993",0.041,20.021,20,0.034
20,Min,20,19.76,0.11,20,"19,883",0.065,20,19.959,0.02,20,"19,980",0.007,20,"19,987",0
25,Max,25.13,24.89,0.37,25.052,24.935,0.169,25.033,24.98,0.074,25.021,"24,993",0.041,25.021,25,0.034
25,Min,25,24.76,0.11,"25,000",24.883,0.065,"25,000",24.959,0.02,"25,000","24,980",0.007,"25,000",24.987,0
