,,Locational Transition H7/k6,Locational Transition H7/k6,Locational Transition H7/k6,Locational Transition H7/n6,Locational Transition H7/n6,Locational Transition H7/n6,Locational Interference H7/p6,Locational Interference H7/p6,Locational Interference H7/p6,Medium Drive H7/s6,Medium Drive H7/s6,Medium Drive H7/s6,Force H7/u6,Force H7/u6,Force H7/u6
"Basic
Size",,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit
30,Max,30.021,30.015,0.019,30.021,30.028,0.006,30.021,30.035,-0.001,30.021,30.048,-0.014,30.021,30.061,-0.027
30,Min,30,30.002,-0.015,30,30.015,-0.028,30,30.022,-0.035,30,30.035,-0.048,30,30.048,-0.061
40,Max,40.025,40.018,0.023,40.025,40.033,0.008,40.025,40.042,-0.001,40.025,40.059,-0.018,40.025,40.076,-0.035
40,Min,40,40.002,-0.018,40,40.017,-0.033,40,40.026,-0.042,40,40.043,-0.059,40,40.06,-0.076
50,Max,50.025,50.018,0.023,50.025,50.033,0.008,50.025,50.042,-0.001,50.025,50.059,-0.018,50.025,50.086,-0.045
50,Min,50,50.002,-0.018,50,50.017,-0.033,50,50.026,-0.042,50,50.043,-0.059,50,50.07,-0.086
60,Max,60.03,60.021,0.028,60.03,60.039,0.01,60.03,60.051,-0.002,60.03,60.072,-0.023,60.03,60.106,-0.057
60,Min,60,60.002,-0.021,60,60.02,-0.039,60,60.032,-0.051,60,60.053,-0.072,60,60.087,-0.106
80,Max,80.03,80.021,0.028,80.03,80.039,0.01,80.03,80.051,-0.002,80.03,80.078,-0.029,80.03,80.121,-0.072
80,Min,80,"80,002",-0.021,80,80.02,-0.039,80,80.032,-0.051,80,80.059,-0.078,80,80.102,-0.121
100,Max,100.035,100.025,0.032,100.035,100.045,0.012,100.035,100.059,-0.002,100.035,100.093,-0.036,100.035,100.146,-0.089
100,Min,100,100.003,-0.025,100,100.023,-0.045,100,100.037,-0.059,100,100.071,-0.093,100,100.124,-0.146
120,Max,120.035,120.025,0.032,120.035,120.045,0.012,120.035,120.059,-0.002,120.035,120.101,-0.044,120.035,120.166,-0.109
120,Min,120,120.003,-0.025,120,120.023,-0.045,120,120.037,-0.059,120,120.079,-0.101,120,120.144,-0.166
160,Max,160.04,160.028,0.037,160.04,160.052,0.013,160.04,160.068,-0.003,160.04,160.125,-0.06,160.04,160.215,-0.15
160,Min,160,160.003,-0.028,160,160.027,-0.052,"160,000",160.043,-0.068,160,160.1,-0.125,160,"160,190",-0.215
200,Max,200.046,200.033,0.042,200.046,200.06,0.015,200.046,200.079,-0.004,200.046,200.151,-0.076,200.046,200.265,-0.19
200,Min,200,200.004,-0.033,200,200.031,-0.06,200,200.05,-0.079,200,200.122,-0.151,200,200.236,-0.265
250,Max,250.046,250.033,0.042,250.046,250.06,0.015,250.046,250.079,-0.004,250.046,250.169,-0.094,250.046,250.313,-0.238
250,Min,250,250.004,-0.033,250,250.031,-0.06,250,250.05,-0.079,250,250.14,-0.169,"250,000",250.284,-0.313
300,Max,300.052,300.036,0.048,300.052,300.066,0.018,300.052,300.088,-0.004,300.052,300.202,-0.118,300.052,300.382,-0.298
300,Min,300,300.004,-0.036,300,300.034,-0.066,300,300.056,-0.088,300,300.17,-0.202,300,300.35,-0.382
400,Max,400.057,400.04,0.053,400.057,400.073,0.02,400.057,400.098,-0.005,400.057,400.244,-0.151,400.057,400.471,-0.378
400,Min,400,400.004,-0.04,400,400.037,-0.073,"400,000",400.062,-0.098,400,400.208,-0.244,400,400.435,-0.471
500,Max,500.063,500.045,0.058,500.063,500.08,0.023,500.063,500.108,-0.005,500.063,500.292,-0.189,500.063,500.58,-0.477
500,Min,500,500.005,-0.045,500,500.04,-0.08,500,500.068,-0.108,500,500.252,-0.292,500,500.54,-0.58
