,,Loose Running,Loose Running,Loose Running,Free Running,Free Running,Free Running,Close Running,Close Running,Close Running,Sliding,Sliding,Sliding,Locational Clearance,Locational Clearance,Locational Clearance
,,H11/cll,H11/cll,H11/cll,H9/d9,H9/d9,H9/d9,H8/f7,H8/f7,H8/f7,H7/g6,H7/g6,H7/g6,H7/h6,H7/h6,H7/h6
Basic Size,,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit
30,Max,30.13,29.89,0.37,30.052,29.935,0.169,30.033,29.98,0.074,30.021,29.993,0.041,30.021,30,0.034
30,Min,30,29.76,0.11,30,29.883,0.065,30,29.959,0.02,30,29.98,0.007,30,29.987,0
40,Max,40.16,39.88,0.44,40.062,39.92,0.204,40.039,"39,975",0.089,40.025,39.991,0.05,40.025,40,0.041
40,Min,40,39.72,0.12,40,39.858,0.08,40,39.95,0.025,40,39.975,0.009,40,39.984,0
50,Max,50.16,49.87,0.45,50.062,49.92,0.204,50.039,49.975,0.089,50.025,49.991,0.05,50.025,50,0.041
50,Min,50,49.71,0.13,50,49.858,0.08,50,49.95,0.025,50,49.975,0.009,50,49.984,0
60,Max,60.19,59.86,0.52,60.074,59.9,0.248,60.046,59.97,0.106,60.03,59.99,0.059,60.03,60,0.049
60,Min,60,59.67,0.14,60,59.826,0.1,60,"59,940",0.03,60,59.971,0.01,60,59.981,0
80,Max,80.19,79.85,0.53,80.074,79.9,0.248,80.046,79.97,0.106,80.03,79.99,0.059,80.03,80,0.049
80,Min,80,79.66,0.15,80,79.826,0.1,80,79.94,0.03,80,79.971,0.01,80,79.981,0
100,Max,100.22,99.83,0.61,100.087,99.88,0.294,100.054,99.964,0.125,100.035,99.988,0.069,100.035,100,0.057
100,Min,100,99.61,0.17,100,99.793,0.12,100,99.929,0.036,100,"99,966",0.012,100,99.978,0
120,Max,120.22,119.82,0.62,120.087,119.88,0.294,120.054,119.964,0.125,120.035,119.988,0.069,120.035,120,0.057
120,Min,120,119.6,0.18,120,119.793,0.12,120,119.929,0.036,120,"119,966",0.012,120,119.978,0
160,Max,160.25,159.79,0.71,160.1,159.855,0.345,160.063,159.957,0.146,160.04,"159,986",0.079,160.04,160,0.065
160,Min,160,159.54,0.21,160,159.755,0.145,160,159.917,0.043,160,159.961,0.014,160,159.975,0
200,Max,200.29,199.76,0.82,200.115,199.83,0.4,200.072,199.95,0.168,200.046,"199,985",0.09,200.046,200,0.075
200,Min,200,199.47,0.24,200,199.715,0.17,200,199.904,0.05,200,199.956,0.015,200,199.971,0
250,Max,250.29,249.72,0.86,250.115,249.83,0.4,250.072,249.95,0.168,250.046,"249,985",0.09,250.046,250,0.075
250,Min,250,249.43,0.28,250,"249,715",0.17,250,249.904,0.05,250,"249,956",0.015,250,249.971,0
300,Max,300.32,299.67,0.97,300.13,299.81,0.45,300.081,299.944,0.189,300.052,299.983,0.101,300.052,300,0.084
300,Min,300,299.35,0.33,300,299.68,0.19,300,299.892,0.056,300,299.951,0.017,"300,000","299,968",0
400,Max,400.36,399.6,1.12,400.14,399.79,0.49,400.089,399.938,0.208,400.057,399.982,0.111,400.057,400,0.093
400,Min,400,399.24,0.4,400,399.65,0.21,400,399.881,0.062,400,399.946,0.018,400,399.964,0
500,Max,500.4,499.52,1.28,500.155,499.77,0.54,500.097,499.932,0.228,500.063,499.98,0.123,500.063,500,0.103
500,Min,500,499.12,0.48,500,499.615,0.23,500,499.869,0.068,500,499.94,0.02,500,499.96,0
