,,Locational Transition ,Locational Transition ,Locational Transition ,Locational Transition,Locational Transition,Locational Transition,Interference,Interference,Interference,Medium Drive,Medium Drive,Medium Drive,Force,Force,Force
,,H7/k6,H7/k6,H7/k6,H7/n6,H7/n6,H7/n6,H7/p6,H7/p6,H7/p6,H7/s6,H7/s6,H7/s6,H7/u6,H7/u6,H7/u6
Basic Size,,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit,Hole,Shaft,Fit
1,Max,1.01,1.006,0.01,1.01,1.01,0.006,1.01,1.012,0.004,1.01,1.02,-0.004,1.01,1.024,-0.008
1,Min,1,1,-0.006,1,1.004,-0.01,1,1.006,-0.012,1,1.014,-0.02,1,1.018,-0.024
1.2,Max,1.21,1.206,0.01,1.21,1.21,0.006,1.21,1.212,0.004,1.21,1.22,-0.004,1.21,1.224,-0.008
1.2,Min,1.2,1.2,-0.006,1.2,1.204,-0.01,1.2,1.206,-0.012,1.2,1.214,-0.02,1.2,1.218,-0.024
1.6,Max,1.61,1.606,0.01,1.61,1.61,0.006,1.61,1.612,0.004,1.61,1.62,-0.004,1.61,1.624,-0.008
1.6,Min,1.6,1.6,-0.006,1.6,1.604,-0.01,1.6,1.606,-0.012,1.6,1.614,-0.02,1.6,1.618,-0.024
2,Max,2.01,2.006,0.01,2.01,2.01,0.006,2.01,2.012,0.004,2.01,2.02,-0.004,2.01,2.024,-0.008
2,Min,2,2,-0.006,2,2.004,-0.01,2,2.006,-0.012,2,2.014,-0.02,2,2.018,-0.024
2.5,Max,2.51,2.506,0.01,2.51,2.51,0.006,2.51,2.512,0.004,2.51,2.52,-0.004,2.51,2.524,-0.008
2.5,Min,2.5,2.5,-0.006,2.5,2.504,-0.01,2.5,2.506,-0.012,2.5,2.514,-0.02,2.5,2.518,-0.024
3,Max,3.01,3.006,0.01,3.01,3.01,0.006,3.01,3.012,0.004,3.01,3.02,-0.004,3.01,3.024,-0.008
3,Min,3,3,-0.006,3,3.004,-0.01,3,3.006,-0.012,"3,000",3.014,-0.02,3,3.018,-0.024
4,Max,4.012,4.009,0.011,4.012,4.016,0.004,4.012,4.02,0,4.012,4.027,-0.007,4.012,4.031,-0.011
4,Min,4,4.001,-0.009,4,4.008,-0.016,4,4.012,-0.02,4,4.019,-0.027,4,4.023,-0.031
5,Max,5.012,5.009,0.011,5.012,5.016,0.004,5.012,5.02,0,5.012,5.027,-0.007,5.012,5.031,-0.011
5,Min,5,5.001,-0.009,5,5.008,-0.016,5,5.012,-0.02,"5,000",5.019,-0.027,5,5.023,-0.031
6,Max,6.012,6.009,0.011,6.012,6.016,0.004,6.012,6.02,0,6.012,6.027,-0.007,6.012,6.031,-0.011
6,Min,6,6.001,-0.009,6,6.008,-0.016,6,6.012,-0.02,"6,000",6.019,-0.027,6,6.023,-0.031
8,Max,8.015,8.01,0.014,8.015,8.019,0.005,8.015,8.024,0,8.015,8.032,-0.008,8.015,8.037,-0.013
8,Min,8,8.001,-0.01,8,8.01,-0.019,8,8.015,-0.024,8,8.023,-0.032,8,8.028,-0.037
10,Max,10.015,10.01,0.014,10.015,10.019,0.005,10.015,10.024,0,10.015,10.032,-0.008,10.015,10.034,-0.013
10,Min,10,10.001,-0.01,10,10.01,-0.019,10,10.015,-0.024,10,10.023,-0.032,10,10.028,-0.037
12,Max,12.018,12.012,0.017,12.018,12.023,0.006,12.018,12.029,0,12.018,12.039,-0.01,12.018,12.044,-0.015
12,Min,12,12.001,-0.012,12,12.012,-0.023,12,12.018,-0.029,12,12.028,-0.039,12,12.033,-0.044
16,Max,16.018,16.012,0.017,16.018,16.023,0.006,16.018,16.029,0,16.018,16.039,-0.01,16.018,16.044,-0.015
16,Min,16,16.001,-0.012,16,16.012,-0.023,16,16.018,-0.029,16,16.028,-0.039,16,16.033,-0.044
20,Max,20.021,20.015,0.019,20.021,20.028,0.006,20.021,20.035,-0.001,20.021,20.048,-0.014,20.021,20.054,-0.02
20,Min,20,20.002,-0.015,20,20.015,-0.028,20,20.022,-0.035,20,20.035,-0.048,20,20.041,-0.054
25,Max,25.021,25.015,0.019,25.021,25.028,0.006,25.021,25.035,-0.001,25.021,25.048,-0.014,25.021,25.061,-0.027
25,Min,"25,000",25.002,-0.015,25,25.015,-0.028,25,25.022,-0.035,25,25.035,-0.048,25,25.048,-0.061
